iter	Passed	Remaining
812	4083	21032
813	4090	21033
814	4097	21039
815	4105	21048
816	4111	21052
817	4116	21043
818	4122	21043
819	4129	21049
820	4136	21056
821	4143	21061
822	4148	21056
823	4155	21061
824	4163	21070
825	4170	21077
826	4177	21078
827	4182	21075
828	4188	21073
829	4195	21079
830	4206	21105
831	4211	21097
832	4217	21096
833	4222	21093
834	4228	21091
835	4234	21092
836	4239	21086
837	4244	21080
838	4250	21081
839	4257	21083
840	4262	21077
841	4268	21078
842	4272	21069
843	4277	21063
844	4283	21062
845	4290	21066
846	4295	21059
847	4302	21067
848	4309	21068
849	4320	21096
850	4329	21108
851	4336	21111
852	4341	21106
853	4348	21111
854	4355	21116
855	4361	21114
856	4368	21118
857	4373	21114
858	4380	21117
859	4387	21119
860	4394	21124
861	4400	21126
862	4406	21124
863	4414	21130
864	4419	21128
865	4425	21126
866	4432	21127
867	4437	21122
868	4443	21122
869	4451	21131
870	4457	21131
871	4462	21126
872	4467	21117
873	4472	21112
874	4477	21106
875	4483	21107
876	4489	21108
877	4496	21111
878	4501	21104
879	4507	21104
880	4515	21109
881	4520	21104
882	4526	21104
883	4532	21104
884	4538	21101
885	4544	21103
886	4550	21098
887	4556	21099
888	4561	21093
889	4566	21085
890	4571	21084
891	4580	21095
892	4586	21093
893	4592	21093
894	4597	21087
895	4603	21084
896	4611	21093
897	4617	21091
898	4624	21094
899	4628	21087
900	4633	21080
901	4641	21086
902	4646	21082
903	4653	21084
904	4657	21076
905	4661	21066
906	4668	21066
907	4674	21065
908	4679	21060
909	4686	21062
910	4692	21061
911	4699	21064
912	4707	21071
913	4712	21068
914	4719	21072
915	4724	21062
916	4729	21057
917	4734	21052
918	4741	21056
919	4746	21049
920	4752	21048
921	4757	21044
922	4763	21042
923	4770	21041
924	4776	21042
925	4783	21045
926	4788	21041
927	4794	21035
928	4799	21032
929	4806	21036
930	4812	21033
931	4818	21033
932	4823	21024
933	4828	21021
934	4836	21029
935	4841	21022
936	4848	21024
937	4853	21018
938	4858	21010
939	4865	21012
940	4870	21010
941	4877	21010
942	4882	21005
943	4887	21000
944	4894	21000
945	4900	21000
946	4905	20995
947	4912	20995
948	4917	20989
949	4921	20983
950	4928	20981
951	4934	20980
952	4940	20979
953	4946	20978
954	4951	20970
955	4956	20966
956	4964	20974
957	4972	20978
958	4978	20978
959	4982	20969
960	4991	20977
961	4996	20974
962	5003	20975
963	5009	20973
964	5014	20965
965	5019	20961
966	5027	20969
967	5034	20970
968	5040	20970
969	5045	20962
970	5051	20961
971	5059	20965
972	5064	20960
973	5070	20958
974	5074	20948
975	5078	20938
976	5084	20936
977	5090	20934
978	5095	20928
979	5101	20925
980	5105	20915
981	5109	20904
982	5114	20900
983	5120	20896
984	5126	20894
985	5132	20894
986	5137	20888
987	5142	20883
988	5148	20878
989	5153	20874
990	5158	20870
991	5165	20869
992	5169	20861
993	5174	20855
994	5182	20860
995	5190	20867
996	5197	20868
997	5204	20868
998	5210	20866
999	5218	20872
1000	5223	20867
1001	5231	20873
1002	5236	20869
1003	5243	20869
1004	5250	20873
1005	5256	20867
1006	5261	20864
1007	5266	20856
1008	5270	20848
1009	5276	20845
1010	5284	20850
1011	5290	20846
1012	5295	20841
1013	5300	20836
1014	5306	20832
1015	5312	20831
1016	5318	20828
1017	5324	20828
1018	5331	20829
1019	5337	20826
1020	5344	20826
1021	5350	20827
1022	5358	20829
1023	5363	20823
1024	5367	20813
1025	5372	20810
1026	5379	20810
1027	5384	20806
1028	5390	20803
1029	5394	20793
1030	5400	20788
1031	5405	20784
1032	5412	20784
1033	5418	20782
1034	5424	20779
1035	5429	20773
1036	5434	20768
1037	5440	20765
1038	5446	20763
1039	5453	20763
1040	5458	20758
1041	5462	20750
1042	5468	20745
1043	5475	20747
1044	5480	20741
1045	5484	20733
1046	5489	20727
1047	5497	20729
1048	5502	20723
1049	5509	20724
1050	5513	20716
1051	5518	20711
1052	5525	20712
1053	5531	20710
1054	5537	20704
1055	5541	20697
1056	5546	20688
1057	5550	20682
1058	5555	20674
1059	5561	20672
1060	5566	20667
1061	5573	20665
1062	5577	20655
1063	5581	20647
1064	5586	20641
1065	5593	20641
1066	5598	20634
1067	5604	20634
1068	5609	20627
1069	5614	20622
1070	5621	20623
1071	5627	20618
1072	5633	20616
1073	5638	20610
1074	5643	20603
1075	5647	20597
1076	5653	20593
1077	5658	20588
1078	5666	20592
1079	5672	20590
1080	5677	20581
1081	5682	20576
1082	5689	20578
1083	5694	20573
1084	5701	20573
1085	5706	20565
1086	5711	20561
1087	5716	20554
1088	5722	20550
1089	5726	20542
1090	5733	20542
1091	5737	20534
1092	5742	20528
1093	5748	20524
1094	5754	20521
1095	5760	20518
1096	5767	20521
1097	5772	20513
1098	5778	20509
1099	5784	20507
1100	5790	20506
1101	5798	20512
1102	5803	20504
1103	5808	20498
1104	5813	20492
1105	5819	20489
1106	5826	20489
1107	5831	20483
1108	5836	20479
1109	5842	20473
1110	5847	20469
1111	5853	20466
1112	5860	20465
1113	5865	20460
1114	5869	20451
1115	5874	20445
1116	5879	20439
